Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
01-JAN-2018,10531.7,10537.85,10423.1,10435.55,134532090,7546.56
02-JAN-2018,10477.55,10495.2,10404.65,10442.2,158092430,8665.47
03-JAN-2018,10482.65,10503.6,10429.55,10443.2,172516859,9541.6
04-JAN-2018,10469.4,10513,10441.45,10504.8,180257392,9561.95
05-JAN-2018,10534.25,10566.1,10520.1,10558.85,186469717,10306.22
08-JAN-2018,10591.7,10631.2,10588.55,10623.6,174181231,9907.27
09-JAN-2018,10645.1,10659.15,10603.6,10637,211291563,10733.37
10-JAN-2018,10652.05,10655.5,10592.7,10632.2,181900014,9720.65
11-JAN-2018,10637.05,10664.6,10612.35,10651.2,158630055,9635.01
12-JAN-2018,10682.55,10690.4,10597.1,10681.25,180592153,11005.12
15-JAN-2018,10718.5,10782.65,10713.8,10741.55,181262074,11333.11
16-JAN-2018,10761.5,10762.35,10687.85,10700.45,217468081,12709.44
17-JAN-2018,10702.45,10803,10666.75,10788.55,260488465,14334.26
18-JAN-2018,10873.4,10887.5,10782.4,10817,321609375,17930.3
19-JAN-2018,10829.2,10906.85,10793.9,10894.7,214011963,11792.26
22-JAN-2018,10883.2,10975.1,10881.4,10966.2,238815813,14469.06
23-JAN-2018,10997.4,11092.9,10994.55,11083.7,293445774,16423.91
24-JAN-2018,11069.35,11110.1,11046.15,11086,292197072,16915.14
25-JAN-2018,11095.6,11095.6,11009.2,11069.65,340469462,19939.54
29-JAN-2018,11079.35,11171.55,11075.95,11130.4,249220726,16118.36
30-JAN-2018,11120.85,11121.1,11033.9,11049.65,234969503,13232.19
31-JAN-2018,11018.8,11058.5,10979.3,11027.7,253462573,14459.69
01-FEB-2018,11044.55,11117.35,10878.8,11016.9,315743486,17719.4
02-FEB-2018,10938.2,10954.95,10736.1,10760.6,291431992,16542.51
05-FEB-2018,10604.3,10702.75,10586.8,10666.55,247479157,13980.63
06-FEB-2018,10295.15,10594.15,10276.3,10498.25,274656443,15606.34
07-FEB-2018,10607.2,10614,10446.4,10476.7,258095424,13971.66
08-FEB-2018,10518.5,10637.8,10479.55,10576.85,239407938,12569.23
09-FEB-2018,10416.5,10480.2,10398.2,10454.95,197502912,10602.15
12-FEB-2018,10518.2,10555.5,10485.4,10539.75,224114801,11133.78
14-FEB-2018,10585.75,10590.55,10456.65,10500.9,236329440,12188.94
15-FEB-2018,10537.9,10618.1,10511.05,10545.5,217090245,11035.38
16-FEB-2018,10596.2,10612.9,10434.05,10452.3,190043189,10026.71
19-FEB-2018,10488.9,10489.35,10302.75,10378.4,193087737,9871.36
20-FEB-2018,10391,10429.35,10347.65,10360.4,193464871,9619.95
21-FEB-2018,10426,10426.1,10349.6,10397.45,241331542,12996.36
22-FEB-2018,10354.35,10397.55,10340.65,10382.7,323259078,17711.46
23-FEB-2018,10408.1,10499.1,10396.65,10491.05,217134363,12704.32
26-FEB-2018,10526.55,10592.95,10520.2,10582.6,177238616,10274.89
27-FEB-2018,10615.2,10631.65,10537.25,10554.3,193250158,10276.42
28-FEB-2018,10488.95,10535.5,10461.55,10492.85,294794221,16299.11
01-MAR-2018,10479.95,10525.5,10447.15,10458.35,181378504,10179.48
05-MAR-2018,10428.3,10428.7,10323.9,10358.85,199975720,10673.92
06-MAR-2018,10420.5,10441.35,10215.9,10249.25,229782297,12143.95
07-MAR-2018,10232.95,10243.35,10141.55,10154.2,257200599,12128.88
08-MAR-2018,10216.25,10270.35,10146.4,10242.65,233377712,11479.51
09-MAR-2018,10271.3,10296.7,10211.9,10226.85,192333334,9874.81
12-MAR-2018,10301.6,10433.65,10295.45,10421.4,223135459,10968.95
13-MAR-2018,10389.5,10478.6,10377.85,10426.85,274852794,23965.25
14-MAR-2018,10393.05,10420.35,10336.3,10410.9,186991169,9564.68
15-MAR-2018,10405.45,10420,10346.2,10360.15,179308593,8588.01
16-MAR-2018,10345.15,10346.3,10180.25,10195.15,338702439,18811.97
19-MAR-2018,10215.35,10224.55,10075.3,10094.25,216670033,11111.43
20-MAR-2018,10051.55,10155.65,10049.1,10124.35,209327593,10947.12
21-MAR-2018,10181.95,10227.3,10132.95,10155.25,211060429,11269.73
22-MAR-2018,10167.5,10207.85,10105.4,10114.75,237632983,11558.88
23-MAR-2018,9968.8,10027.7,9951.9,9998.05,294515154,14435.17
26-MAR-2018,9989.15,10143.5,9958.55,10130.65,270665332,12695.47
27-MAR-2018,10188,10207.9,10139.65,10184.15,232713976,11175.79
28-MAR-2018,10143.6,10158.35,10096.9,10113.7,354977198,18807.48
02-APR-2018,10151.65,10220.1,10127.75,10211.8,,
03-APR-2018,10186.85,10255.35,10171.05,10245,211652029,10167.12
04-APR-2018,10274.6,10279.85,10111.3,10128.4,238182921,11861.79
05-APR-2018,10228.45,10331.8,10227.45,10325.15,244116235,11674.92
06-APR-2018,10322.75,10350.45,10290.85,10331.6,206355691,10131.74
09-APR-2018,10333.7,10397.7,10328.5,10379.35,228512954,10714.13
